Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Price
Samsung,4.0,64.0,16,16,3300,26600
Tecno,3.0,32.0,16,13,3750,6990
Karbonn,0.0625,0.0625,0,0,1800,970
Infinix,4.0,64.0,13,13,4000,9999
Samsung,4.0,128.0,16,25,4000,15999
Panasonic,3.0,16.0,5,13,5000,8499
Karbonn,0.03125,0.03125,0,0,1750,1245
Inovu,0.03125,0.03125,0,0,1000,649
Micromax,0.01953125,0.01953125,0,0,3000,1399
Samsung,6.0,128.0,8,12,4000,67900
Muphone,0.03125,0.0625,0,0,1700,1099
Intex,0.03125,0.03125,0,0,1300,899
POCO,6.0,64.0,20,12,4000,19999
Muphone,0.03125,0.03125,0,1,1700,1099
Hicell,0.03125,0.0625,0,0,1050,539
Micromax,0.03125,0.03125,0,0,800,850
Ismart,2.0,32.0,5,8,3000,5299
I,0.03125,0.0625,0,0,800,1099
Panasonic,1.0,16.0,5,8,2200,5299
InFocus,2.0,16.0,8,13,3000,4599
XOLO,2.0,16.0,5,8,2500,6888
Karbonn,0.03125,0.03125,0,0,1000,829
Karbonn,0.03125,0.03125,0,1,1400,1331
Samsung,4.0,64.0,16,25,4000,14999
Micromax,0.03125,0.03125,0,0,2500,1299
I,0.03125,0.0625,0,0,1000,999
Micromax,0.0546875,0.0390625,0,0,1000,799
InFocus,0.03125,0.03125,0,0,1000,899
Gamma,0.03125,0.03125,0,2,2200,1099
Samsung,0.00390625,0.001953125,0,0,1000,2315
Micromax,0.03125,0.03125,0,0,1450,1099
Itel,0.03125,0.03125,0,0,1000,1070
Karbonn,0.03125,0.03125,0,0,1450,949
Muphone,0.03125,0.03125,0,1,800,840
Itel,0.03125,0.03125,0,0,1200,1345
Gionee,4.0,32.0,16,13,3030,6999
Karbonn,1.0,8.0,0,5,2800,3299
Tambo,0.0234375,0.0234375,0,0,1000,840
Kechaoda,0.03125,0.03125,0,0,800,899
Inovu,0.03125,0.03125,0,0,1000,599
Karbonn,0.03125,0.03125,0,0,800,739
Micromax,0.03125,0.03125,0,0,1450,1199
OnePlus,8.0,256.0,16,48,4085,53380
Redmi,3.0,32.0,5,13,4100,10999
Gfive,0.0625,0.25,0,0,1050,649
