Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Original Price,Sale Price,Original Class,Sale Class
Ssky,0.03125,0.03125,0,1,1800,1099,1099,Low,Low
OPPO,6.0,64.0,25,16,3500,14990,14990,Budget,Budget
Jivi,0.000976563,0.015625,0,0,1000,710,710,Low,Low
Blackbear,0.0625,0.0625,0,1,1450,1499,1320,Low,Low
Samsung,1.0,8.0,5,8,2600,8990,8990,Budget,Budget
Jivi,0.000976563,0.015625,0,0,1000,719,719,Low,Low
Realme,2.0,16.0,5,13,4230,6999,6999,Budget,Budget
Google,4.0,64.0,8,12,3700,32999,32999,Premium,Premium
Mi,6.0,128.0,20,20,3010,15999,15999,Mid-Range,Mid-Range
Winstar,0.03125,0.03125,0,0,1500,990,948,Low,Low
I,0.03125,0.0625,0,0,1500,1299,1149,Low,Low
Samsung,1.0,16.0,5,5,2600,5290,5290,Budget,Budget
I,0.03125,0.03125,0,0,1500,1299,1199,Low,Low
I,0.03125,0.0625,0,0,1000,599,479,Low,Low
Blackbear,0.03125,0.03125,0,1,1550,1499,1399,Low,Low
Samsung,4.0,64.0,16,16,4000,13990,13990,Budget,Budget
I,0.03125,0.0625,0,0,1500,1049,999,Low,Low
Asus,2.0,16.0,5,13,2070,12399,5990,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1750,769,769,Low,Low
Gionee,4.0,64.0,16,13,4010,21499,21499,Mid-Range,Mid-Range
Bloom,0.03125,0.03125,0,0,1000,699,699,Low,Low
Samsung,8.0,128.0,32,64,4500,25499,27999,Mid-Range,Mid-Range
Peace,0.03125,0.0625,0,0,850,1099,1099,Low,Low
Peace,0.03125,0.0625,0,0,850,1075,1075,Low,Low
Redmi,6.0,64.0,20,12,4000,8999,13999,Budget,Budget
LG,4.0,64.0,8,16,3000,50000,36999,Premium,Premium
I,0.03125,0.0625,0,0,800,799,799,Low,Low
Karbonn,0.03125,0.03125,0,0,800,717,717,Low,Low
Mobiistar,1.0,8.0,5,5,2700,3999,3999,Low,Low
Lava,3.0,32.0,8,13,3000,7999,7999,Budget,Budget
Tork,0.03125,0.03125,0,0,2800,950,949,Low,Low
Jivi,0.03125,0.03125,0,0,1000,839,885,Low,Low
Jivi,0.03125,0.03125,0,0,1000,799,885,Low,Low
Billion,4.0,64.0,8,13,3500,13999,13999,Budget,Budget
Forme,0.03125,0.03125,0,0,850,599,599,Low,Low
Forme,0.03125,0.03125,0,0,2500,830,830,Low,Low
Karbonn,0.03125,0.03125,0,0,1750,949,949,Low,Low
GAMMA,0.03125,0.03125,0,0,1000,890,890,Low,Low
Blackbear,0.03125,0.03125,0,1,1050,620,620,Low,Low
Coolpad,3.0,32.0,0,13,2500,9999,9999,Budget,Budget
Realme,4.0,64.0,8,13,4230,10990,10990,Budget,Budget
Bluboo,2.0,16.0,5,8,2700,5299,4650,Budget,Low
I,0.03125,0.0625,0,0,800,1199,999,Low,Low
Infinix,3.0,32.0,16,12,4500,6999,6999,Budget,Budget
Itel,0.03125,0.03125,0,0,2500,1124,1124,Low,Low
Lenovo,2.0,32.0,5,13,4900,15999,15999,Mid-Range,Mid-Range
OPPO,8.0,256.0,25,16,3730,58990,58990,Premium,Premium
Karbonn,1.0,4.0,2,13,1800,13298,13298,Budget,Budget
Karbonn,1.0,4.0,2,13,1800,14990,14990,Budget,Budget
Karbonn,0.03125,0.03125,0,0,1450,836,848,Low,Low
Karbonn,0.03125,0.03125,0,0,1750,999,999,Low,Low
Blackbear,0.0625,0.0625,0,2,2800,1079,979,Low,Low
Intex,0.00390625,0.00390625,0,0,1050,765,765,Low,Low
Gionee,3.0,32.0,8,13,3520,6999,6999,Budget,Budget
Ssky,0.03125,0.03125,0,0,2500,799,799,Low,Low
Micromax,0.03125,0.03125,0,0,1800,1069,1069,Low,Low
Gome,3.0,32.0,0,13,3500,5980,5749,Budget,Budget
Alcatel,3.0,32.0,0,16,4000,12999,12999,Budget,Budget
Tecno,2.0,16.0,8,13,4000,5440,5450,Budget,Budget
Micromax,0.03125,0.03125,0,0,2500,1205,1205,Low,Low
Blackbear,0.0625,0.0625,0,2,6000,1699,1699,Low,Low
Redmi,4.0,64.0,20,12,4000,10900,11999,Budget,Budget
Micromax,0.01953125,0.01953125,0,0,1700,1629,1599,Low,Low
Jivi,0.004882813,0.03125,0,0,1000,899,898,Low,Low
JIVI,0.000976563,0.015625,0,0,4000,2299,2299,Low,Low
Kechaoda,0.03125,0.03125,0,0,1000,690,680,Low,Low
Realme,3.0,32.0,0,13,3500,12334,9999,Budget,Budget
I,0.03125,0.0625,0,0,2000,739,719,Low,Low
Intex,0.03125,0.03125,0,1,1700,1090,1090,Low,Low
Lava,3.0,32.0,13,13,3000,8999,8999,Budget,Budget
