Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Intex,31,30,0,0,1050,0,999
Karbonn,64,64,0,0,1800,0,980
Realme,3,32,8,13,4230,1,9499
Moto,4,64,8,12,3000,1,8999
I Kall,2,16,0,5,2500,1,3199
Gionee,3,32,13,13,4050,1,6999
Tecno,3,32,8,13,3050,1,5749
Lava,2,32,5,13,3200,1,6299
I Kall,4,32,0,5,3000,1,5699
Kechaoda,32,32,0,0,800,0,845
Lenovo,6,128,16,16,4050,1,11999
Samsung,4,64,8,13,3000,1,14990
Redmi,3,32,16,12,3080,1,8999
Itel,32,32,0,0,2500,0,1110
I Kall,1,8,2,5,2200,1,3099
Itel,32,32,0,0,2500,0,1136
XOLO,3,32,13,13,3000,1,7199
Samsung,6,128,10,16,3100,1,47990
I Kall,4,64,5,8,3000,1,4499
OPPO,4,64,8,13,4230,1,9990
Redmi,4,64,16,12,3080,1,10999
Samsung,4,64,16,25,4000,1,14999
Samsung,8,512,10,16,3400,1,59900
Apple,0,64,12,12,0,1,109900
I Kall,2,16,0,5,2800,1,3599
Kechaoda,50,0,0,0,1800,0,799
Redmi,4,64,13,48,4000,1,9999
Karbonn,12,12,0,0,800,0,1339
I Kall,2,16,0,5,2500,1,3199
Honor,3,32,13,13,3000,1,7999
Micromax,32,32,0,1,800,0,699
Gfive,32,32,0,1,1200,0,1399
Jivi,32,32,0,1,1450,0,920
Karbonn,32,32,0,0,800,0,699
I Kall,4,32,0,5,3000,1,5699
Micromax,32,32,0,1,1000,0,795
Micromax,0,32,0,0,1300,0,839
Nokia,4,4,0,0,800,0,1242
vivo,6,64,0,16,5000,1,12650
Gionee,3,32,13,13,4050,1,6999
Asus,3,32,8,13,4000,1,7499
Redmi,3,32,8,12,4000,1,8999
Gfive,32,32,0,1,1000,0,1099
Lava,32,25,0,0,1000,0,1149
I Kall,4,64,5,8,3000,1,4499
Karbonn,32,32,0,0,3000,0,1099
