Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Tecno,2,32,8,13,3050,1,7399
Gfive,0,0,0,1,1800,0,699
POCO,6,128,20,64,4500,1,16999
Gionee,3,16,5,13,2400,1,10999
Lenovo,4,64,16,13,4050,1,10999
BlackBear,0,0,0,0,1000,0,599
Honor,3,32,13,13,3000,1,7999
Good,0,0,0,0,1000,0,1449
Samsung,1,16,1,8,2100,0,22140
Samsung,8,128,10,64,4500,1,73999
I,0,0,0,0,800,0,1099
Gfive,0,0,0,1,1050,0,649
I,0,0,0,0,1000,0,599
Kechaoda,0,0,0,0,1700,0,933
Google,4,64,8,12,3700,1,34999
Google,4,64,8,12,3700,1,34999
InFocus,2,16,5,5,2400,1,4099
Redmi,6,64,20,48,4000,1,19999
Kechaoda,0,0,0,0,1000,0,645
LG,2,16,5,8,2500,1,6299
MTR,0,0,0,0,800,0,1199
Karbonn,0,0,0,0,800,0,719
Bluboo,2,16,5,8,2700,1,4650
Jivi,0,0,0,0,1000,0,898
Samsung,4,64,8,12,3500,1,53990
Itel,0,0,0,0,1200,0,940
I,0,0,0,0,1000,0,999
Honor,4,64,16,20,3750,1,10999
InFocus,0,0,0,0,1000,0,787
Panasonic,3,16,5,13,4000,1,7999
GAMMA,0,0,0,0,1000,0,890
Mymax,0,0,0,1,1000,0,899
GAMMA,0,0,0,0,1000,0,890
Apple,0,64,12,12,0,1,109900
I,0,0,0,0,1000,0,649
Jivi,0,0,0,0,1000,0,710
Mobiistar,1,8,5,5,2700,1,3999
Snexian,0,0,0,1,1000,0,628
Micromax,0,0,0,0,950,0,1149
Itel,0,0,0,0,1200,0,940
InFocus,0,0,0,0,1000,0,787
Gfive,0,0,0,0,1800,0,699
Vivo,4,64,0,16,5000,1,11990
Blackbear,0,0,0,1,2500,0,1020
Megus,0,0,0,1,2700,0,970
Intex,0,0,0,0,800,0,845
Blackbear,0,0,0,2,2800,0,1079
Gfive,0,0,0,1,1800,0,699
Easyfone,0,0,0,0,800,0,3999
Easyfone,0,0,0,0,800,0,3999
Easyfone,0,0,0,0,800,0,3999
Good,0,0,0,0,1000,0,1449
Easyfone,0,0,0,0,800,0,3999
Easyfone,0,0,0,0,800,0,3999
Alcatel,3,32,0,16,3000,1,9999
Inovu,0,0,0,0,1200,0,799
Forme,0,0,0,0,850,0,750
Gfive,0,0,0,1,1050,0,649
Blackbear,0,0,0,1,1050,0,749
OPPO,4,32,8,13,4230,1,11990
Tecno,2,16,8,13,4000,1,5450
Snexian,0,0,0,1,1000,0,628
Blackbear,0,0,0,1,1050,0,749
OPPO,4,32,8,13,4230,1,11990
LG,6,128,32,12,4000,1,49990
Easyfone,0,0,0,0,1000,0,2099
Lenovo,4,64,16,13,4050,1,10999
Gfive,0,0,0,0,1800,0,699
Google,4,64,8,12,3430,1,54999
InFocus,2,16,8,13,3000,1,4438
Tecno,2,16,0,13,3050,1,5340
Gfive,0,0,0,1,1800,0,699
Apple,0,64,12,12,0,1,99900
Blackbear,0,0,0,1,550,0,2099
Panasonic,3,32,5,13,5000,1,12990
Tork,0,0,0,0,2800,0,1299
Peace,0,0,0,0,850,0,545
Good,0,0,0,0,1000,0,1449
Redmi,3,32,5,12,4000,1,8990
Asus,2,8,5,13,2070,1,11549
Inovu,0,0,0,0,800,0,579
Gfive,0,0,0,1,1050,0,649
Asus,2,8,2,8,2110,0,10499
MTR,0,0,0,0,800,0,1199
Lenovo,1,8,1,8,3000,0,13604
Tecno,3,32,16,13,3500,1,9499
Bloom,0,0,0,0,2800,0,1299
Snexian,0,0,0,1,1000,0,628
I,1,8,0,5,2200,1,2999
Panasonic,4,32,8,16,3000,1,11499
ZOPO,3,16,5,8,2500,1,4570
Gfive,0,0,0,0,1800,0,699
Infinix,4,64,16,16,4000,1,8999
Samsung,0,0,0,0,800,0,1625
I,0,0,0,0,8000,0,1099
