Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Lenovo,3.0,32.0,8,13,4000,1,7999
Gfive,0.03125,0.03125,0,1,1000,0,899
Kechaoda,0.03125,0.03125,0,2,600,0,1900
I,2.0,16.0,0,5,2800,1,3749
Micromax,0.125,0.03125,0,0,1800,0,1056
Lava,0.03125,0.03125,0,0,800,0,999
Vivo,8.0,128.0,8,12,4000,1,39990
I,4.0,64.0,5,8,3000,1,4499
LG,3.0,32.0,16,12,4000,1,8299
Realme,3.0,32.0,8,13,4230,1,9499
Karbonn,0.01171875,0.03125,0,0,1750,0,1129
Redmi,2.0,32.0,0,12,4000,1,7995
OPPO,2.0,32.0,5,8,4000,1,7490
I,2.0,16.0,0,5,2800,1,3699
Samsung,6.0,128.0,32,64,4500,1,23499
Micromax,3.0,32.0,5,13,3000,1,4299
Vivo,6.0,64.0,32,16,4500,1,17990
I,2.0,16.0,0,5,2500,1,3199
Infinix,4.0,64.0,16,16,4000,1,9999
Itel,1.0,16.0,2,5,3020,1,3980
Samsung,6.0,64.0,25,25,4000,1,17999
Kechaoda,0.03125,0.03125,0,0,1000,0,1350
Vivo,6.0,64.0,32,12,4000,1,19990
Hicell,0.03125,0.0625,0,0,1050,0,599
LG,6.0,128.0,32,12,4000,1,49990
Lenovo,2.0,32.0,5,13,2300,1,17499
OPPO,2.0,16.0,8,13,3180,1,8990
Itel,0.03125,0.03125,0,0,1200,0,1325
Redmi,8.0,256.0,20,48,4000,1,27999
Gionee,2.0,16.0,5,13,3000,1,5999
Apple,,128.0,7,12,0,1,54900
Vivo,6.0,64.0,25,12,3400,1,14990
Salora,0.03125,0.03125,0,1,2000,0,659
Kechaoda,0.03125,0.0625,0,0,1700,0,999
I,0.03125,0.0625,0,0,1000,0,1099
I,0.03125,0.0625,0,0,800,0,539
Honor,6.0,128.0,32,48,3750,1,21999
Nokia,3.0,32.0,8,13,3000,1,9499
Karbonn,0.01171875,0.01171875,0,0,800,0,1399
I,0.03125,0.0625,0,0,1000,0,639
Good,0.03125,0.03125,0,0,1000,0,1499
Good,0.03125,0.03125,0,0,1000,0,1499
Jmax,0.03125,0.03125,0,1,1050,0,999
I,4.0,64.0,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,0,3800,0,1029
Jmax,0.03125,0.03125,0,1,1050,0,999
Jmax,0.03125,0.03125,0,1,1050,0,999
I,2.0,16.0,0,5,2800,1,3749
Micromax,0.03125,0.03125,0,2,1450,0,1340
OPPO,4.0,32.0,8,13,4230,1,11990
I,0.03125,0.0625,0,0,1000,0,739
I,0.03125,0.0625,0,0,1000,0,1199
Redmi,8.0,256.0,20,48,4000,1,27999
I,4.0,64.0,5,8,3000,1,4499
Tork,0.03125,0.03125,0,0,1000,0,799
Samsung,4.0,64.0,0,13,5000,1,12920
Mymax,0.03125,0.03125,0,1,1000,0,899
I,2.0,16.0,0,5,2800,1,3699
Tecno,4.0,64.0,13,13,6000,1,10000
Nokia,0.00390625,0.00390625,0,1,800,0,1699
Tecno,4.0,64.0,13,13,6000,1,11999
Mymax,0.03125,0.03125,0,1,1000,0,565
Detel,0.03125,0.03125,0,0,1000,0,599
I,2.0,16.0,0,5,2500,1,3199
Easyfone,0.03125,0.03125,0,0,1000,0,2499
Samsung,2.0,32.0,8,13,4000,1,8499
Mymax,0.03125,0.03125,0,1,1000,0,899
I,4.0,64.0,5,8,3000,1,4499
Nokia,0.00390625,0.00390625,0,1,800,0,1699
Micromax,,0.03125,0,0,1300,0,925
OPPO,6.0,128.0,16,48,4020,1,16990
Asus,8.0,256.0,8,12,3300,1,18999
Infinix,2.0,16.0,8,13,3050,1,3999
I,2.0,16.0,0,5,2800,1,3749
Blackbear,0.0625,0.0625,0,2,1000,0,599
Intex,,0.033203125,0,0,800,0,790
OnePlus,12.0,256.0,16,48,4000,1,51995
I,4.0,64.0,5,8,3000,1,4499
Itel,0.0078125,0.0078125,0,0,1900,0,1368
I,0.03125,0.0625,0,0,1000,0,1199
Honor,4.0,64.0,16,13,3000,1,8499
Micromax,1.0,8.0,2,5,2000,1,2799
Blackbear,0.0625,0.0625,0,1,1050,0,799
I,2.0,16.0,0,5,2500,1,3199
Nokia,3.0,32.0,5,13,4000,1,8999
Honor,6.0,128.0,32,48,3750,1,21999
Samsung,4.0,64.0,16,16,3300,1,26600
I,2.0,16.0,0,5,2800,1,3699
Tecno,3.0,32.0,16,13,3750,1,6990
Karbonn,0.0625,0.0625,0,0,1800,0,970
I,0.03125,0.0625,0,0,1000,0,1199
Infinix,4.0,64.0,13,13,4000,1,9999
Samsung,4.0,128.0,16,25,4000,1,15999
I,4.0,64.0,5,8,3000,1,4499
Panasonic,3.0,16.0,5,13,5000,1,8499
Apple,,512.0,12,12,0,1,131900
Karbonn,0.03125,0.03125,0,0,1750,0,1245
I,2.0,16.0,0,5,2800,1,3749
I,0.03125,0.0625,0,0,1000,0,639
Inovu,0.03125,0.03125,0,0,1000,0,649
Micromax,0.01953125,0.01953125,0,0,3000,0,1399
Samsung,6.0,128.0,8,12,4000,1,67900
Muphone,0.03125,0.0625,0,0,1700,0,1099
I,4.0,64.0,5,8,3000,1,4499
Intex,0.03125,0.03125,0,0,1300,0,899
POCO,6.0,64.0,20,12,4000,1,19999
Muphone,0.03125,0.03125,0,1,1700,0,1099
I,2.0,16.0,0,5,2800,1,3699
Muphone,0.03125,0.0625,0,0,1700,0,1099
Nokia,,0.015625,0,2,1200,0,3499
Muphone,0.03125,0.0625,0,0,1700,0,1099
Hicell,0.03125,0.0625,0,0,1050,0,539
I,0.03125,0.0625,0,0,1000,0,639
I,2.0,16.0,0,5,2500,1,3199
Micromax,0.03125,0.03125,0,0,800,0,850
Ismart,2.0,32.0,5,8,3000,1,5299
I,0.03125,0.0625,0,0,800,0,1099
I,4.0,64.0,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,800,0,890
Kechaoda,0.03125,0.03125,0,0,800,0,890
Kechaoda,0.03125,0.03125,0,0,800,0,890
Panasonic,1.0,16.0,5,8,2200,1,5299
I,0.03125,0.0625,0,0,800,0,539
I,2.0,16.0,0,5,2800,1,3749
InFocus,2.0,16.0,8,13,3000,1,4599
XOLO,2.0,16.0,5,8,2500,1,6888
Karbonn,0.03125,0.03125,0,0,1000,0,829
I,4.0,64.0,5,8,3000,1,4499
Redmi,8.0,128.0,0,64,4500,1,19999
Karbonn,0.03125,0.03125,0,1,1400,0,1331
Samsung,4.0,64.0,16,25,4000,1,14999
Micromax,0.03125,0.03125,0,0,2500,0,1299
I,0.03125,0.0625,0,0,1000,0,999
I,2.0,16.0,0,5,2500,1,3199
Micromax,0.0546875,0.0390625,0,0,1000,0,799
Inovu,0.03125,0.03125,0,0,1000,0,649
InFocus,0.03125,0.03125,0,0,1000,0,899
I,2.0,16.0,0,5,2800,1,3699
Gamma,0.03125,0.03125,0,2,2200,0,1099
Samsung,0.00390625,0.001953125,0,0,1000,0,2315
Micromax,0.03125,0.03125,0,0,1450,0,1099
Itel,0.03125,0.03125,0,0,1000,0,1070
Karbonn,0.03125,0.03125,0,0,1450,0,949
I,4.0,64.0,5,8,3000,1,4499
Muphone,0.03125,0.03125,0,1,800,0,840
I,0.03125,0.0625,0,0,1000,0,639
Muphone,0.03125,0.03125,0,1,800,0,840
I,2.0,16.0,0,5,2800,1,3749
Itel,0.03125,0.03125,0,0,1200,0,1345
Gionee,4.0,32.0,16,13,3030,1,6999
Karbonn,1.0,8.0,0,5,2800,1,3299
Tambo,0.0234375,0.0234375,0,0,1000,0,840
Samsung,6.0,128.0,10,16,3100,1,47990
I,4.0,64.0,5,8,3000,1,4499
