Company,RAM,Storage,Front Camera,Back Camera,Battery Capacity,Internet Connectivity 4G,Price
Kechaoda,0.03125,0.03125,0,0,300,0,999
I,2,16,0,5,2800,1,3699
Kechaoda,0.03125,0.03125,0,0,300,0,999
Muphone,0.03125,0.03125,0,1,1700,0,999
Apple,,64,7,12,0,1,49900
Itel,0.03125,0.03125,0,0,2500,0,983
BlackBear,0.03125,0.03125,0,0,1000,0,599
I,4,64,5,8,3000,1,4499
Kechaoda,0.03125,0.03125,0,0,850,0,905
I,0.03125,0.0625,0,0,1000,0,1199
Kult,3,32,0,13,4000,1,4990
I,2,16,0,5,2800,1,4399
Kechaoda,0.03125,0.0625,0,0,400,0,935
Karbonn,0.03125,0.03125,0,0,1800,0,899
Lava,2,16,5,8,3380,1,5549
Apple,,64,7,12,0,1,49900
Micromax,0.0546875,,0,0,4000,0,1599
I,4,64,5,8,3000,1,4499
I,0.03125,0.0625,0,0,800,0,479
Samsung,6,128,10,16,3100,1,47990
Kechaoda,0.03125,0.03125,0,0,800,0,850
I,2,16,0,5,2500,1,2999
YUHO,4,32,0,13,3300,1,7199
Kechaoda,0.03125,0.03125,0,0,850,0,822
Blackbear,0.0625,0.0625,0,2,1000,0,549
GreenBerry,0.03125,0.0625,0,2,1000,0,549
OPPO,8,128,16,48,4000,1,21990
I,2,16,0,5,2800,1,3699
Samsung,8,128,10,64,4000,1,66999
Redmi,8,256,20,48,4000,1,27999
Peace,0.0625,0.25,0,0,850,0,540
I,4,64,5,8,3000,1,4499
Lava,1,16,2,5,2500,1,3899
Kechaoda,0.03125,0.03125,0,0,400,0,885
Lenovo,3,32,8,13,4000,1,7999
Gfive,0.03125,0.03125,0,1,1000,0,899
Kechaoda,0.03125,0.03125,0,2,600,0,1900
I,2,16,0,5,2800,1,4399
Micromax,0.125,0.03125,0,0,1800,0,1057
Lava,0.03125,0.03125,0,0,800,0,879
Vivo,8,128,8,12,4000,1,39990
I,4,64,5,8,3000,1,4499
LG,3,32,16,12,4000,1,8299
